slug,title,platform,metacritic_score,must_play,release_year,genre,metacritic_url,ign_score,ign_url,gamespot_score,gamespot_url,content_status,notes,pcgamer_url,eurogamer_url,nintendolife_url,rockpapershotgun_url,rpgsite_url,adventuregamers_url,nintendoworldreport_url
bayonetta-2,Bayonetta 2,Nintendo Switch,92,true,2018,,https://www.metacritic.com/game/bayonetta-2/,9.5,https://www.ign.com/articles/2014/10/13/bayonetta-2-review,,https://www.gamespot.com/reviews/bayonetta-2-review/1900-6415911/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第1页,,https://www.eurogamer.net/bayonetta-2-review,,,,,
celeste,Celeste,Nintendo Switch,92,true,2018,,https://www.metacritic.com/game/celeste/,10,https://www.ign.com/articles/2018/01/25/celeste-review,,https://www.gamespot.com/reviews/celeste-review-more-than-just-a-great-platformer/1900-6416843/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第1页,https://www.pcgamer.com/celeste-review/,https://www.eurogamer.net/celeste-review,,https://www.rockpapershotgun.com/celeste-review,,,
mario-kart-8-deluxe,Mario Kart 8 Deluxe,Nintendo Switch,92,true,2017,,https://www.metacritic.com/game/mario-kart-8-deluxe/,9.3,https://www.ign.com/articles/2017/04/20/mario-kart-8-deluxe-review,,https://www.gamespot.com/reviews/mario-kart-8-deluxe-review/1900-6416660/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第1页,,https://www.eurogamer.net/mario-kart-8-deluxe-review,,,,,
super-mario-bros-wonder,Super Mario Bros. Wonder,Nintendo Switch,92,true,2023,,https://www.metacritic.com/game/super-mario-bros-wonder/,9,https://www.ign.com/articles/super-mario-bros-wonder-review,,https://www.gamespot.com/reviews/super-mario-bros-wonder-review-a-badge-of-honor/1900-6418136/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第1页,,https://www.eurogamer.net/super-mario-bros-wonder-review,,,,,
dragon-quest-xi-s-echoes-of-an-elusive-age,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Nintendo Switch,91,true,2019,,https://www.metacritic.com/game/dragon-quest-xi-s-echoes-of-an-elusive-age/,8.8,https://www.ign.com/articles/2018/08/28/dragon-quest-xi-11-echoes-of-an-elusive-age-review,,https://www.gamespot.com/reviews/dragon-quest-xi-review-nintendo-switch-definitive/1900-6416969/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第1页,https://www.pcgamer.com/dragon-quest-11-echoes-of-an-elusive-age-review/,https://www.eurogamer.net/dragon-quest-11-echoes-of-an-elusive-age-review-a-staunchly-traditional-return-for-the-stately-rpg-series,,,https://www.rpgsite.net/review/7652-dragon-quest-xi-echoes-of-an-elusive-age-review,,
inside,INSIDE,Nintendo Switch,91,true,2018,,https://www.metacritic.com/game/inside/,10,https://www.ign.com/articles/2016/06/28/inside-review,,https://www.gamespot.com/reviews/inside-review/1900-6416458/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第1页,https://www.pcgamer.com/inside-review/,https://www.eurogamer.net/inside-review,,https://www.rockpapershotgun.com/inside-review-pc,,,
shovel-knight-treasure-trove,Shovel Knight: Treasure Trove,Nintendo Switch,91,true,2017,,https://www.metacritic.com/game/shovel-knight-treasure-trove/,9,https://www.ign.com/articles/2017/03/07/shovel-knight-treasure-trove-review,,https://www.gamespot.com/reviews/shovel-knight-review/1900-6415805/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第2页,,,,,,,
sonic-mania-plus,Sonic Mania Plus,Nintendo Switch,91,true,2018,,https://www.metacritic.com/game/sonic-mania-plus/,7,https://www.ign.com/articles/2018/07/10/sonic-mania-plus-review,,https://www.gamespot.com/reviews/sonic-mania-plus-review-encore-encore/1900-6416729/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第1页,,,,,,,
animal-crossing-new-horizons,Animal Crossing: New Horizons,Nintendo Switch,90,true,2020,,https://www.metacritic.com/game/animal-crossing-new-horizons/,9,https://www.ign.com/articles/animal-crossing-new-horizons-review-for-switch,,https://www.gamespot.com/reviews/animal-crossing-new-horizons-review-island-getaway/1900-6417431/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第2页,,https://www.eurogamer.net/animal-crossing-new-horizons-review-a-magical-vivarium-and-one-of-nintendos-best-games-yet,,,,,
bayonetta-plus-bayonetta-2,Bayonetta + Bayonetta 2,Nintendo Switch,90,true,2018,,https://www.metacritic.com/game/bayonetta-plus-bayonetta-2/,,,,,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,,,,,,,
chained-echoes,Chained Echoes,Nintendo Switch,90,true,2022,,https://www.metacritic.com/game/chained-echoes/,,,,,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,,,,,https://www.rpgsite.net/review/14174-chained-echoes-review,,
hollow-knight,Hollow Knight,Nintendo Switch,90,true,2018,,https://www.metacritic.com/game/hollow-knight/,9.4,https://www.ign.com/articles/2018/06/22/hollow-knight-review,,https://www.gamespot.com/reviews/hollow-knight-review-an-exceptional-adventure/1900-6416972/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第2页,https://www.pcgamer.com/hollow-knight-review/,,,https://www.rockpapershotgun.com/hollow-knight-review,,,
ori-and-the-blind-forest-definitive-edition,Ori and the Blind Forest: Definitive Edition,Nintendo Switch,90,true,2019,,https://www.metacritic.com/game/ori-and-the-blind-forest-definitive-edition/,8.5,https://www.ign.com/articles/2015/03/10/ori-and-the-blind-forest-review,,https://www.gamespot.com/reviews/ori-and-the-blind-forest-review/1900-6416053/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第2页,https://www.pcgamer.com/ori-and-the-blind-forest-review/,https://www.eurogamer.net/ori-and-the-blind-forest-review,,https://www.rockpapershotgun.com/ori-and-the-blind-forest-definitive-edition-review,,,
persona-4-golden,Persona 4 Golden,Nintendo Switch,90,true,2023,,https://www.metacritic.com/game/persona-4-golden/,9.3,https://www.ign.com/articles/2012/11/21/persona-4-golden-review,,https://www.gamespot.com/reviews/persona-4-golden-review-stay-golden/1900-6400482/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第2页,https://www.pcgamer.com/persona-4-golden-review/,https://www.eurogamer.net/persona-4-golden-review,,https://www.rockpapershotgun.com/persona-4-golden-review,https://www.rpgsite.net/review/3111-persona-4-golden-review,,
sea-of-stars,Sea of Stars,Nintendo Switch,90,true,2023,,https://www.metacritic.com/game/sea-of-stars/,8,https://www.ign.com/articles/sea-of-stars-review,,https://www.gamespot.com/reviews/sea-of-stars-review-playing-with-power/1900-6418113/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第2页,https://www.pcgamer.com/sea-of-stars-review/,https://www.eurogamer.net/sea-of-stars-review,,https://www.rockpapershotgun.com/sea-of-stars-review,https://www.rpgsite.net/review/14764-sea-of-stars-review,,
hades-ii,Hades II,Nintendo Switch 2,95,true,2025,,https://www.metacritic.com/game/hades-ii/,10,https://www.ign.com/articles/hades-2-review,,https://www.gamespot.com/reviews/hades-2-review-witching-hours/1900-6418231/,links-collected,同一作品在PC与Nintendo Switch 2条目下均入选,https://www.pcgamer.com/games/action/hades-2-review/,https://www.eurogamer.net/hades-2-review,,https://www.rockpapershotgun.com/hades-2-10-review,https://www.rpgsite.net/review/18504-hades-ii-review,,
the-legend-of-zelda-tears-of-the-kingdom-nintendo,The Legend of Zelda: Tears of the Kingdom - Nintendo Switch 2 Edition,Nintendo Switch 2,95,true,2025,,https://www.metacritic.com/game/the-legend-of-zelda-tears-of-the-kingdom-nintendo/,,https://www.ign.com/articles/the-legend-of-zelda-tears-of-the-kingdom-nintendo-switch-2-edition-review-update,,https://www.gamespot.com/reviews/the-legend-of-zelda-tears-of-the-kingdom-review/1900-6418063/,links-collected,IGN为Switch 2版评测更新；GameSpot为原版Switch评测，未找到NS2专属评测,,,,,,,
the-legend-of-zelda-breath-of-the-wild-nintendo,The Legend of Zelda: Breath of the Wild - Nintendo Switch 2 Edition,Nintendo Switch 2,94,true,2025,,https://www.metacritic.com/game/the-legend-of-zelda-breath-of-the-wild-nintendo/,,https://www.ign.com/articles/the-legend-of-zelda-breath-of-the-wild-nintendo-switch-2-edition-review-update,,https://www.gamespot.com/reviews/the-legend-of-zelda-breath-of-the-wild-review/1900-6416626/,links-collected,IGN为Switch 2版评测更新；GameSpot为原版Switch评测，未找到NS2专属评测,,,,,,,
donkey-kong-bananza,Donkey Kong Bananza,Nintendo Switch 2,91,true,2025,,https://www.metacritic.com/game/donkey-kong-bananza/,10,https://www.ign.com/articles/donkey-kong-bananza-review,,https://www.gamespot.com/reviews/donkey-kong-bananza-review-a-new-start-for-nintendos-first-star/1900-6418382/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：Nintendo Switch 2前10,,https://www.eurogamer.net/donkey-kong-bananza-review,,,,,
hollow-knight-silksong,Hollow Knight: Silksong,Nintendo Switch 2,91,true,2025,,https://www.metacritic.com/game/hollow-knight-silksong/,9,https://www.ign.com/articles/hollow-knight-silksong-review,,https://www.gamespot.com/reviews/hollow-knight-silksong-review-an-unforgettable-climb/1900-6418415/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：Nintendo Switch 2前10,https://www.pcgamer.com/games/action/hollow-knight-silksong-review/,https://www.eurogamer.net/hollow-knight-silksong-review,,https://www.rockpapershotgun.com/hollow-knight-silksong-review,,,
elden-ring-tarnished-edition,Elden Ring: Tarnished Edition,Nintendo Switch 2,90,true,2026,,https://www.metacritic.com/game/elden-ring-tarnished-edition/,10,https://www.ign.com/articles/elden-ring-review,,https://www.gamespot.com/reviews/elden-ring-review-death-of-the-wild/1900-6417832/,links-collected,两站链接均为Elden Ring主版本评测，未找到Tarnished Edition专属评测,,,,,,,
mina-the-hollower,Mina the Hollower,Nintendo Switch 2,90,true,2026,,https://www.metacritic.com/game/mina-the-hollower/,10,https://www.ign.com/articles/mina-the-hollower-review,,https://www.gamespot.com/reviews/mina-the-hollower-surpasses-the-greatness-of-shovel-knight/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：Nintendo Switch 2前10,https://www.pcgamer.com/games/action/mina-the-hollower-review/,https://www.eurogamer.net/mina-the-hollower-review,,,https://www.rpgsite.net/review/20442-mina-the-hollower-review,,
onimusha-way-of-the-sword,Onimusha: Way of the Sword,Nintendo Switch 2,90,true,2026,,https://www.metacritic.com/game/onimusha-way-of-the-sword/,10,https://www.ign.com/articles/onimusha-way-of-the-sword-review,,https://www.gamespot.com/reviews/onimusha-way-of-the-sword-review/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：Nintendo Switch 2前10,https://www.pcgamer.com/games/action/onimusha-way-of-the-sword-review/,https://www.eurogamer.net/onimusha-way-of-the-sword-review,,,https://www.rpgsite.net/review/21251-onimusha-way-of-the-sword-review,,
resident-evil-requiem,Resident Evil Requiem,Nintendo Switch 2,90,true,2026,,https://www.metacritic.com/game/resident-evil-requiem/,9,https://www.ign.com/articles/resident-evil-requiem-review,,https://www.gamespot.com/reviews/resident-evil-requiem-review-two-headed-mutant/1900-6418464/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：Nintendo Switch 2前10,https://www.pcgamer.com/games/resident-evil/resident-evil-requiem-review/,https://www.eurogamer.net/resident-evil-requiem-review,,https://www.rockpapershotgun.com/resident-evil-requiem-review-a-cathartic-cross-breed-of-creeps-and-carnage,,,
baldurs-gate-3,Baldur's Gate 3,PC,96,true,2023,,https://www.metacritic.com/game/baldurs-gate-3/,10,https://www.ign.com/articles/baldurs-gate-3-review,,https://www.gamespot.com/reviews/baldurs-gate-3-review-let-freedom-reign/1900-6418131/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：PC前10,,https://www.eurogamer.net/wheres-our-baldurs-gate-3-review,,https://www.rockpapershotgun.com/baldurs-gate-3-review,https://www.rpgsite.net/review/14610-baldurs-gate-3-review,,
bioshock,BioShock,PC,96,true,2007,,https://www.metacritic.com/game/bioshock/,9.7,https://www.ign.com/articles/2007/08/17/bioshock-review-2,,https://www.gamespot.com/reviews/bioshock-review/1900-6177215/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：PC前10,,,,https://www.rockpapershotgun.com/review-bioshock-ultra-geek-edition,,,
grand-theft-auto-v,Grand Theft Auto V,PC,96,true,2015,,https://www.metacritic.com/game/grand-theft-auto-v/,10,https://www.ign.com/articles/2015/04/14/gta-5-pc-review,,https://www.gamespot.com/reviews/grand-theft-auto-5-ps4-xbox-one-pc-review/1900-6415959/,links-collected,IGN使用PC版评测；GameSpot链接覆盖PC版本,,https://www.eurogamer.net/grand-theft-auto-5-review,,,,,
half-life,Half-Life,PC,96,true,1998,,https://www.metacritic.com/game/half-life/,9.5,https://www.ign.com/articles/1998/11/26/half-life-5,,https://www.gamespot.com/reviews/half-life-review/1900-2537398/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：PC前10,,,,,,,
half-life-2,Half-Life 2,PC,96,true,2004,,https://www.metacritic.com/game/half-life-2/,9.7,https://www.ign.com/articles/2004/11/15/half-life-2-review,,https://www.gamespot.com/reviews/half-life-2-review/1900-6113062/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：PC前10,https://www.pcgamer.com/games/fps/half-life-2-review-uk/,https://www.eurogamer.net/half-life-2-episode-two-review,,,,,
the-orange-box,The Orange Box,PC,96,true,2007,,https://www.metacritic.com/game/the-orange-box/,8.4,https://www.ign.com/articles/2007/12/11/the-orange-box-review,,https://www.gamespot.com/reviews/the-orange-box-review/1900-6180730/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：PC前10,https://www.pcgamer.com/the-orange-box-review/,,,,,,
baldurs-gate-ii-shadows-of-amn,Baldur's Gate II: Shadows of Amn,PC,95,true,2000,,https://www.metacritic.com/game/baldurs-gate-ii-shadows-of-amn/,9.4,https://www.ign.com/articles/2000/10/10/baldurs-gate-ii-shadows-of-amn,,https://www.gamespot.com/reviews/baldurs-gate-ii-shadows-of-amn-review/1900-2635279/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：PC前10,,,,,,,
portal-2,Portal 2,PC,95,true,2011,,https://www.metacritic.com/game/portal-2/,9.5,https://www.ign.com/articles/2011/04/19/portal-2-review,,https://www.gamespot.com/reviews/portal-2-review/1900-6309133/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：PC前10,https://www.pcgamer.com/portal-2-review/,https://www.eurogamer.net/portal-2-review,,https://www.rockpapershotgun.com/review-portal-2,,,
bioshock-infinite,BioShock Infinite,PC,94,true,2013,,https://www.metacritic.com/game/bioshock-infinite/,9.5,https://www.ign.com/articles/2013/03/22/bioshock-infinite-pc-review,,https://www.gamespot.com/reviews/bioshock-infinite-review/1900-6405506/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第1页,https://www.pcgamer.com/bioshock-infinite-burial-at-sea-episode-two-review/,https://www.eurogamer.net/bioshock-infinite-burial-at-sea-episode-two-review,,https://www.rockpapershotgun.com/bioshock-infinite-pc-review,,,
elden-ring,Elden Ring,PC,94,true,2022,,https://www.metacritic.com/game/elden-ring/,10,https://www.ign.com/articles/elden-ring-review,,https://www.gamespot.com/reviews/elden-ring-review-death-of-the-wild/1900-6417832/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第1页,,,,,,,
grand-theft-auto-vice-city,Grand Theft Auto: Vice City,PC,94,true,2003,,https://www.metacritic.com/game/grand-theft-auto-vice-city/,,https://www.ign.com/articles/grand-theft-auto-vice-city-the-legacy-review,,https://www.gamespot.com/reviews/grand-theft-auto-vice-city-review/1900-2895954/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第1页,,,,,,,
grim-fandango,Grim Fandango,PC,94,true,1998,,https://www.metacritic.com/game/grim-fandango/,9.3,https://www.ign.com/articles/2015/01/27/grim-fandango-remastered-review,,https://www.gamespot.com/reviews/grim-fandango-remastered-review/1900-6416008/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第1页,,,,,,,
hades-ii,Hades II,PC,94,true,2025,,https://www.metacritic.com/game/hades-ii/,10,https://www.ign.com/articles/hades-2-review,,https://www.gamespot.com/reviews/hades-2-review-witching-hours/1900-6418231/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：PC前10,https://www.pcgamer.com/games/action/hades-2-review/,https://www.eurogamer.net/hades-2-review,,https://www.rockpapershotgun.com/hades-2-10-review,https://www.rpgsite.net/review/18504-hades-ii-review,,
mass-effect-2,Mass Effect 2,PC,94,true,2010,,https://www.metacritic.com/game/mass-effect-2/,9,https://www.ign.com/articles/mass-effect-legendary-edition-review-mass-effect-2-review,,https://www.gamespot.com/reviews/mass-effect-2-review/1900-6246931/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第1页,,,,,,,
sid-meiers-civilization-iv,Sid Meier's Civilization IV,PC,94,true,2005,,https://www.metacritic.com/game/sid-meiers-civilization-iv/,,https://www.ign.com/articles/2005/12/04/sid-meiers-civilization-iv-review,,https://www.gamespot.com/reviews/civilization-iv-review/1900-6136659/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第1页,,,,,,,
the-elder-scrolls-iv-oblivion,The Elder Scrolls IV: Oblivion,PC,94,true,2006,,https://www.metacritic.com/game/the-elder-scrolls-iv-oblivion/,8,https://www.ign.com/articles/the-elder-scrolls-iv-oblivion-remastered-review,,https://www.gamespot.com/reviews/the-elder-scrolls-iv-oblivion-review/1900-6146661/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第1页,https://www.pcgamer.com/games/the-elder-scrolls/the-elder-scrolls-iv-oblivion-review/,,,,https://www.rpgsite.net/review/2773-elder-scrolls-iv-oblivion-review,,
the-elder-scrolls-v-skyrim,The Elder Scrolls V: Skyrim,PC,94,true,2011,,https://www.metacritic.com/game/the-elder-scrolls-v-skyrim/,9.5,https://www.ign.com/articles/2011/11/10/the-elder-scrolls-v-skyrim-review,,https://www.gamespot.com/reviews/the-elder-scrolls-v-skyrim-review/1900-6344618/,links-collected,IGN与GameSpot均使用PC/主版本评测,,,,,,,
company-of-heroes,Company of Heroes,PC,93,true,2006,,https://www.metacritic.com/game/company-of-heroes/,,https://www.ign.com/articles/2007/04/26/company-of-heroes-review,,https://www.gamespot.com/reviews/company-of-heroes-review/1900-6157430/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第1页,,,,,,,
divinity-original-sin-ii,Divinity: Original Sin II,PC,93,true,2017,,https://www.metacritic.com/game/divinity-original-sin-ii/,,https://www.ign.com/articles/2017/09/21/divinity-original-sin-2-review,,https://www.gamespot.com/reviews/divinity-original-sin-2-review/1900-6416769/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,https://www.pcgamer.com/divinity-original-sin-2-review/,https://www.eurogamer.net/divinity-original-sin-2-review,,https://www.rockpapershotgun.com/divinity-original-sin-2-review,https://www.rpgsite.net/review/7663-divinity-original-sin-ii-definitive-edition-console-review,,
god-of-war,God of War,PC,93,true,2022,,https://www.metacritic.com/game/god-of-war/,,https://www.ign.com/articles/2018/04/12/god-of-war-review,,https://www.gamespot.com/reviews/god-of-war-review-out-with-the-old-in-with-the-new/1900-6416893/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,https://www.pcgamer.com/god-of-war-pc-review/,https://www.eurogamer.net/god-of-war-review-astonishing-technological-craft-in-the-service-of-simple-pleasures,,https://www.rockpapershotgun.com/god-of-war-pc-review,,,
grand-theft-auto-iii,Grand Theft Auto III,PC,93,true,2002,,https://www.metacritic.com/game/grand-theft-auto-iii/,,https://www.ign.com/articles/grand-theft-auto-iii-the-legacy-review,,https://www.gamespot.com/reviews/grand-theft-auto-iii-review/1900-2820025/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,,https://www.eurogamer.net/grand-theft-auto-3-10-year-anniversary-edition-review-review,,,,,
grand-theft-auto-san-andreas,Grand Theft Auto: San Andreas,PC,93,true,2005,,https://www.metacritic.com/game/grand-theft-auto-san-andreas/,,,,https://www.gamespot.com/reviews/grand-theft-auto-san-andreas-review/1900-6111345/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,,,,,,,
hades,Hades,PC,93,true,2020,,https://www.metacritic.com/game/hades/,9,https://www.ign.com/articles/hades-review,,https://www.gamespot.com/reviews/hades-review-the-long-hard-road-out-of-hell/1900-6417568/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第2页,https://www.pcgamer.com/hades-review/,https://www.eurogamer.net/hades-review-of-myth-and-mayhem,,,https://www.rpgsite.net/review/10265-hades-review,,
half-life-alyx,Half-Life: Alyx,PC,93,true,2020,,https://www.metacritic.com/game/half-life-alyx/,,https://www.ign.com/articles/half-life-alyx-review,,https://www.gamespot.com/reviews/half-life-alyx-review-catch-these-hands/1900-6417437/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,https://www.pcgamer.com/half-life-alyx-review/,https://www.eurogamer.net/half-life-alyx-review-a-legend-returns-in-elegant-form,,https://www.rockpapershotgun.com/half-life-alyx-review,,,
homeworld,Homeworld,PC,93,true,1999,,https://www.metacritic.com/game/homeworld/,,,,https://www.gamespot.com/reviews/homeworld-review/1900-2537718/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,,,,,,,
minecraft,Minecraft,PC,93,true,2011,,https://www.metacritic.com/game/minecraft/,,https://www.ign.com/articles/2011/11/24/minecraft-review,,https://www.gamespot.com/reviews/minecraft-review/1900-6346734/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,https://www.pcgamer.com/minecraft-review/,https://www.eurogamer.net/minecraft-review,,https://www.rockpapershotgun.com/minecraft-review,,,
red-dead-redemption-2,Red Dead Redemption 2,PC,93,true,2019,,https://www.metacritic.com/game/red-dead-redemption-2/,,https://www.ign.com/articles/2018/10/25/red-dead-redemption-2-review,,https://www.gamespot.com/reviews/red-dead-redemption-2-review-wild-wild-west/1900-6417019/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,https://www.pcgamer.com/red-dead-redemption-2-review/,https://www.eurogamer.net/red-dead-redemption-2-review-9,,,,,
star-wars-knights-of-the-old-republic,Star Wars: Knights of the Old Republic,PC,93,true,2003,,https://www.metacritic.com/game/star-wars-knights-of-the-old-republic/,,https://www.ign.com/articles/2003/11/22/star-wars-knights-of-the-old-republic-review,,https://www.gamespot.com/reviews/star-wars-knights-of-the-old-republic-review/1900-6071718/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,,,,,,,
